name,number,length,sample_rate,mfccs,chroma,mel,contrast,tonnetz
andrew_tate,1,252633,32000,-8.556066,0.3169408,3.266108,20.361669096102208,0.0032346495701687746
andrew_tate,10,229227,32000,-8.894419,0.3382121,2.734756,20.386146046082207,-0.0019050926926551537
andrew_tate,11,328423,32000,-8.805218,0.31086123,2.8998177,21.535908134814353,0.002123939136176741
andrew_tate,12,335110,32000,-8.565641,0.32577792,2.9931722,20.92836354252247,-0.004527713517945239
andrew_tate,13,260806,32000,-8.565959,0.32908952,2.2911048,20.47975448654498,-0.001904486883246732
andrew_tate,14,202849,32000,-8.383888,0.30936044,3.121046,20.888283306857144,0.0024618416898252986
andrew_tate,15,234800,32000,-8.26324,0.30863014,3.6523151,20.628912169125588,-0.00039704395450608607
andrew_tate,16,274924,32000,-8.332495,0.31867793,3.991632,20.623418963740217,0.011345960735164399
andrew_tate,17,248546,32000,-8.043629,0.2986931,3.7573102,20.658606640779063,-0.0008434253747588809
andrew_tate,18,289413,32000,-8.452756,0.31095475,3.4411461,20.905763982787334,-0.0027793851118869833
andrew_tate,19,244088,32000,-7.99678,0.31985,2.7687068,20.62063920033159,0.0084664357623342
andrew_tate,2,304274,32000,-8.59784,0.31979913,2.5063322,20.599144415804737,-0.004059563593761087
andrew_tate,20,298701,32000,-8.469369,0.32824653,2.933521,20.73424476331556,0.004813971593736647
andrew_tate,21,272323,32000,-8.284453,0.3005263,4.5538845,20.759945862959665,-0.008208084109225787
andrew_tate,22,159010,32000,-8.76818,0.30050805,2.9069667,20.441331908706488,-0.01150946419211266
andrew_tate,23,272695,32000,-7.944417,0.31310162,3.0910847,20.702033238060096,0.0004712459842586585
andrew_tate,24,278639,32000,-7.967583,0.31732234,3.1400707,20.827074040230148,4.2226420492077225e-05
andrew_tate,25,312076,32000,-8.0844555,0.30263072,3.930612,20.866365009134157,-0.00022990601590716612
andrew_tate,26,298701,32000,-8.390665,0.3369512,2.7232218,20.588920468958623,-0.008762362514486508
andrew_tate,27,284955,32000,-8.1180315,0.31076977,3.4505436,20.61361255025313,-0.0008707699109390067
andrew_tate,28,212509,32000,-8.622157,0.31549945,2.6376,20.807924025881096,0.011558613530851676
andrew_tate,29,283097,32000,-8.328548,0.3287954,3.0883765,20.798993058575693,-0.003064384446583168
andrew_tate,3,317277,32000,-8.505175,0.2997116,3.1565757,21.168052416508022,-0.003322683623263008
andrew_tate,30,284212,32000,-8.804043,0.3082627,3.3090715,21.303078785348628,0.006308110300660058
andrew_tate,31,309475,32000,-8.093365,0.3188731,2.9910445,21.06404343615901,-0.003372920508599661
andrew_tate,32,310590,32000,-8.467258,0.33860433,2.349705,20.275713293938974,-0.0013299059634069926
